schedule,step,train_reward
rl50_echo150,74,0.7382
rl50_echo150,75,0.5762
rl50_echo150,76,0.6687
rl50_echo150,77,0.6072
rl50_echo150,78,0.7312
rl50_echo150,79,0.612
rl50_echo150,80,0.6908
rl50_echo150,81,0.7079
rl50_echo150,82,0.7387
rl50_echo150,83,0.6871
rl50_echo150,84,0.7557
rl50_echo150,85,0.6785
rl50_echo150,86,0.7513
rl50_echo150,87,0.7152
rl50_echo150,88,0.6829
rl50_echo150,89,0.724
rl50_echo150,90,0.5902
rl50_echo150,91,0.6076
rl50_echo150,92,0.6632
rl50_echo150,93,0.625
rl50_echo150,94,0.6968
rl50_echo150,95,0.6181
rl50_echo150,96,0.6876
rl50_echo150,97,0.6451
rl50_echo150,98,0.6313
rl50_echo150,99,0.6967
rl50_echo150,100,0.6099
rl50_echo150,101,0.726
rl50_echo150,102,0.7053
rl50_echo150,103,0.6225
rl50_echo150,104,0.6685
rl50_echo150,105,0.7616
rl50_echo150,106,0.6516
rl50_echo150,107,0.6055
rl50_echo150,108,0.6814
rl50_echo150,109,0.671
rl50_echo150,110,0.7044
rl50_echo150,111,0.7176
rl50_echo150,112,0.6599
rl50_echo150,113,0.6491
rl50_echo150,114,0.6327
rl50_echo150,115,0.6999
rl50_echo150,116,0.6952
rl50_echo150,117,0.6872
rl50_echo150,118,0.6299
rl50_echo150,119,0.6137
rl50_echo150,120,0.6177
rl50_echo150,121,0.6854
rl50_echo150,122,0.6434
rl50_echo150,123,0.6858
rl50_echo150,124,0.6197
rl50_echo150,125,0.6125
rl50_echo150,126,0.6704
rl50_echo150,127,0.6503
rl50_echo150,128,0.6555
rl50_echo150,129,0.6777
rl50_echo150,130,0.6911
rl50_echo150,131,0.647
rl50_echo150,132,0.6641
rl50_echo150,133,0.6609
rl50_echo150,134,0.685
rl50_echo150,135,0.6792
rl50_echo150,136,0.6602
rl50_echo150,137,0.6654
rl50_echo150,138,0.6391
rl50_echo150,139,0.6107
rl50_echo150,140,0.6046
rl50_echo150,141,0.6137
rl50_echo150,142,0.6292
rl50_echo150,143,0.6281
rl50_echo150,144,0.6573
rl50_echo150,145,0.6365
rl50_echo150,146,0.6333
rl50_echo150,147,0.6461
rl50_echo150,148,0.6125
rl50_echo150,149,0.6836
rl50_echo150,150,0.6083
rl50_echo150,151,0.6448
rl50_echo150,152,0.6544
rl50_echo150,153,0.6397
rl50_echo150,154,0.6292
rl50_echo150,155,0.6503
rl50_echo150,156,0.6333
rl50_echo150,157,0.6516
rl50_echo150,158,0.6214
rl50_echo150,159,0.6333
rl50_echo150,160,0.6417
rl50_echo150,161,0.6292
rl50_echo150,162,0.6417
rl50_echo150,163,0.6167
rl50_echo150,164,0.6461
rl50_echo150,165,0.6586
rl50_echo150,166,0.625
